En->X spBLEU,Size,en->cs,en->de,en->es,en->fr,en->ru,en->sr,en->bn,en->zh,en->ja,en->ko,en->ar,en->th,en->hu,en->vi,en->sw,en->te,AVG
Gemma2,27B,69.2164662,69.28704934,73.5733557,68.96326936,66.78125945,71.09245874,66.04139815,61.03941718,57.56303342,60.90371564,66.96722975,61.01403233,65.29430499,67.0328479,68.32900256,66.24773604,66.2
Aya-Expanse,32B,68.27281234,68.0830171,71.0564835,68.30846659,65.61273626,67.79702722,60.95803113,59.34316589,56.25216844,58.20129048,65.4921635,54.63662328,61.47728559,64.94616423,55.72952909,50.38123478,62.3
Qwen2.5,32B,69.46755848,66.92478274,72.9625701,68.35156843,67.28885279,70.54381926,65.88353766,61.81066694,58.39108088,61.77424823,66.15328675,61.41902258,63.71223914,68.76983541,60.55615799,62.65862815,65.4
DeepSeek-R1-Distill-Qwen,32B,45.60003306,37.5221184,35.46689576,35.99273471,39.02451816,42.33257259,42.93368521,38.48162437,36.47677763,36.2664009,43.55794826,39.49206924,37.95014137,29.47217035,29.60311668,32.90554572,37.7
Llama3.1,70B,72.34858592,70.98905271,74.66000244,70.67296476,68.77610468,73.00201786,69.62720797,61.9211407,58.13176083,61.97323711,68.61549664,62.89987676,68.11917271,70.24043532,70.41305486,69.42842099,68.2
Llama3.3,70B,68.58484224,67.8395155,71.21846297,67.55864715,65.41953128,69.40629813,65.99881854,59.29333205,56.51310187,59.38749247,64.78497171,58.78147461,64.50046643,66.44371822,68.52168225,66.27439568,65.0
DeepSeek-R1-Distill-Llama,70B,41.97851715,47.61673296,50.1229323,50.56701947,53.51337487,52.3065796,43.73989332,37.46180677,38.07423233,38.89163598,47.34708206,41.42190329,41.68117384,41.37185657,53.7198229,43.41298275,45.2
Qwen2.5,72B,71.13725171,69.43100179,73.06951053,69.83527677,67.83403179,71.83936196,68.28490717,62.16624101,59.97803355,63.10083303,66.83356827,62.56180231,65.75452281,69.72292689,63.92320595,64.43214732,66.9
DeepSeek-V3,671B,70.64371573,71.07450884,74.17602346,70.82436596,67.4055652,73.09750914,68.14665233,61.48187367,58.44874408,62.73800413,66.91050181,63.65765754,67.55838281,68.95991051,71.10752337,68.90739276,67.8
gpt-4o-mini-2024-07-18,,71.95403365,70.81332176,74.5723933,71.74131672,69.50117529,71.92153277,67.22569348,62.38198956,59.45056522,62.73858636,66.95539664,62.108953,65.95547578,68.96957242,69.00824212,66.73427117,67.6
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
En->X TER,Size,en->cs,en->de,en->es,en->fr,en->ru,en->sr,en->bn,en->zh,en->ja,en->ko,en->ar,en->th,en->hu,en->vi,en->sw,en->te,AVG
InternLM2.5,7B,55.48717824,46.43766477,33.87025615,36.82590843,42.07710038,83.28209095,106.9795737,51.33362779,84.70212007,108.5735002,79.54096944,112.4203941,121.7281053,72.31332205,374.0659048,106.2745792,94.7
Qwen2.5,7B,40.37050223,35.93538472,26.65662743,31.38209769,44.82500501,63.99136116,66.27562523,32.7415187,55.20648357,80.59314989,66.1588421,83.54946849,56.79924042,36.07068154,115.6088142,94.32174279,58.2
Llama3.1,8B,34.64993113,33.86303979,25.46974602,28.92724802,33.64748711,58.43650601,50.69109813,43.10569468,56.89865682,60.76385498,48.86003513,47.40360075,46.89537495,35.68789343,67.91753825,54.61570117,45.5
Aya-Expanse,8B,42.23657363,41.01535388,31.4108967,35.43912006,40.10659464,62.74804367,73.10222634,40.29483108,51.78396891,49.75967522,43.20031398,57.58172241,67.69020164,35.83498668,79.11495015,70.04028993,51.3
Gemma2,9B,40.69961821,37.88794465,28.98532676,30.51447723,37.61467719,47.46108077,58.66681507,39.2367271,52.04785477,49.21010335,45.72091181,56.76777443,47.69730268,32.68354403,42.57902628,60.48633177,44.3
InternLM2.5,20B,84.82997362,90.24206882,68.26937361,90.19385306,75.22037346,97.42942062,130.6707495,88.25289743,112.5639887,99.4678367,88.48300805,90.50409307,130.3190577,67.29629822,238.8988343,111.1428135,104.0
Gemma2,27B,30.08129685,29.38540937,22.49719207,25.35327178,28.73766924,30.59221176,46.98585936,30.94409659,42.87157858,40.90239321,34.74978536,46.95486106,38.38545797,24.26743141,34.21153425,48.62426366,34.7
Aya-Expanse,32B,28.35703102,29.92081987,22.43754541,24.25975806,28.01223135,45.55534182,58.34998569,29.55951705,43.10220737,39.6568006,34.18776334,47.36901553,48.46185181,22.97864396,66.57253412,60.39988985,39.3
Llama3.1,70B,35.08767945,32.43964157,26.73919712,29.16248822,34.31691526,34.30968092,39.0449966,46.09659335,52.63687529,54.35082115,43.64252768,45.8184962,39.36672902,27.58857528,42.88409398,41.74728102,39.1
Qwen2.5,72B,34.41029645,34.20945237,26.32338343,26.81144188,30.2105919,39.48720842,48.20785506,35.14304102,52.6033218,46.40228572,36.96336304,43.64761676,47.33539427,28.04793425,65.59962749,66.31154928,41.4
