ifeval_ter,Size,en->cs,en->de,en->es,en->fr,en->ru,en->sr,en->bn,en->zh,en->ja,en->ko,en->ar,en->th,en->hu,en->vi,en->sw,en->te,cs->en,de->en,es->en,fr->en,ru->en,sr->en,bn->en,zh->en,ja->en,ko->en,ar->en,th->en,hu->en,vi->en,sw->en,te->en
Llama3.1,8B,22.95205479,25.07011451,12.16092922,14.03409181,18.93804736,44.45739877,45.03283059,25.34895468,42.23293499,39.98480175,35.39533943,24.77574781,40.91760312,29.9497501,53.96314678,60.40076831,14.11303878,13.91510948,10.93294956,12.2168459,17.14921376,17.51825369,29.14584443,25.24429537,35.97364972,28.66952984,19.78839696,21.05416237,24.20894384,19.68943231,21.60904431,33.82400157
Aya-Expanse,8B,42.31068493,39.41634619,34.69963237,32.48714783,36.08322975,59.90831202,74.47758172,35.79079967,50.64124157,50.29869837,46.978638,63.30685022,68.4362347,36.0899764,73.97821919,80.9076987,30.916254,34.46047269,25.97633158,25.7689591,39.82345009,37.51666723,65.11760551,37.75161384,51.26595427,49.18391938,32.67457628,58.2977325,53.20596356,39.33995868,71.70404282,83.24853347
Gemma2,9B,27.77013699,22.88859003,11.00476141,11.00437581,23.15136105,22.95660854,49.82592992,23.09815082,33.99729182,35.20367166,30.01746786,30.68075031,36.27018723,21.92464544,25.89292338,49.68289813,21.1010006,19.68225549,21.01185687,19.01443297,24.29506574,16.39413616,24.30450894,25.21067761,32.39468008,30.55401317,22.22171859,24.19119064,22.58358169,27.46646723,22.13975168,20.58691325
InternLM2.5,20B,50.62438356,26.77812683,18.87166586,20.96893042,30.79816503,45.616982,99.17666934,28.31553141,50.53851353,44.02964412,46.7403648,53.45989089,59.31881531,45.82175151,130.9566297,97.179394,18.1218625,14.98634514,12.91337571,14.3536513,16.16485546,20.07773635,46.39742239,21.69667713,26.61884634,25.52268066,25.3976528,32.77882912,27.40489762,21.25473576,50.43419795,69.47167231
Gemma2,27B,12.31109589,15.5910672,7.451224171,9.6107138,15.44868187,15.09993909,29.81549959,15.32751845,24.08453815,22.04393951,23.15214384,17.40135955,24.78411542,13.45689533,17.40473336,33.30737684,14.25015392,11.14712115,9.179915465,10.15180875,14.1364579,14.1296588,20.91629177,18.60308755,24.85674678,21.91273735,16.41717754,18.56342614,15.7735296,16.47761397,13.13699049,18.35001001
Aya-Expanse,32B,27.07684932,30.02993424,17.51258476,16.89497941,23.54734613,39.21532587,61.39319865,27.57388723,40.31958347,38.40117373,35.46512828,44.38667789,51.31436291,25.99941837,63.79887308,68.55976051,17.54998281,15.10797345,11.93732743,13.7719507,18.08257882,19.66752411,27.13368915,25.28660087,27.68857109,26.98486445,21.4655078,31.17122017,26.21883275,19.93986576,31.91081094,40.96078809
Llama3.1,70B,14.55821918,15.43412299,7.008172491,7.835992452,12.45571486,15.55636651,31.42873391,15.07434921,23.92994416,23.21676322,23.71086765,15.44502618,25.26746559,12.50397333,17.90727732,46.82249217,10.30894346,9.209378222,6.782855697,9.169716818,10.9839428,11.95772472,16.87838302,16.33974337,18.41913417,16.2910165,14.60030747,14.44770549,14.0831983,12.31883237,10.1442542,11.51276153
Qwen2.5,72B,14.83972603,19.58969936,8.789503008,8.369696219,13.33919078,19.21744567,32.60713979,14.28465831,22.72565033,24.18779625,23.382158,18.10127046,27.59393329,13.025409,38.31282678,53.50066622,9.866624361,8.553642994,6.786255246,8.22426447,10.73010981,10.50838367,15.73537911,15.93179749,17.59266604,15.12119392,13.38138029,14.30265807,13.42708534,11.54146883,11.5082288,12.41779702
DeepSeek-V3,671B,14.96917808,20.9780814,9.32780715,9.496690252,15.7474927,15.83448938,26.35559673,16.5942886,22.97192993,24.08938379,23.4498821,18.60652437,25.93532464,13.49510689,17.13139943,28.78878333,16.83192252,12.05102345,10.12687872,11.99587521,16.59131,14.81561224,19.87111932,20.03391994,23.07651629,20.52572137,17.29426118,14.97048058,15.56540166,16.99056814,12.06839893,16.4398412
gpt-4o-mini-2024-07-18,,11.88986301,15.69518628,6.654898993,7.514519611,11.9917078,15.48915012,25.99358645,13.93108376,21.16364877,20.37137913,18.83308074,16.72646725,23.74487311,12.17460994,17.61910526,33.36231809,10.9880978,9.978054023,7.546998765,8.969521155,11.74166449,11.86102644,17.13599329,17.57075784,19.79292969,16.61661775,15.35274098,15.23753404,14.46017051,12.98892125,11.48896469,13.50791906
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpqa_ter,Size,en->cs,en->de,en->es,en->fr,en->ru,en->sr,en->bn,en->zh,en->ja,en->ko,en->ar,en->th,en->hu,en->vi,en->sw,en->te,cs->en,de->en,es->en,fr->en,ru->en,sr->en,bn->en,zh->en,ja->en,ko->en,ar->en,th->en,hu->en,vi->en,sw->en,te->en
InternLM2.5,7B,45.4955774,30.15334516,17.46097585,20.04707984,25.75473771,90.79467152,121.3731789,22.24301499,74.54188563,112.6783725,79.85039688,94.14772969,129.1554967,87.29250747,479.4851036,114.8907277,21.69005848,18.26461988,15.01754386,14.62719298,22.67251462,33.33187135,63.34356725,34.05409357,33.62719298,41.61988304,39.88157895,80.72368421,31.63888889,26.68567251,99.48538012,135.8128655
Qwen2.5,7B,33.11977924,25.60894463,17.10979302,20.57044763,44.25614516,65.64408743,60.32479964,20.04985305,38.65180823,76.68381872,61.73682194,70.30624814,47.58141174,25.16759824,171.8926637,96.75191689,19.68274854,18.22222222,17.62719298,14.70614035,21.65350877,19.59210526,31.99415205,27.32017544,28.70760234,28.12134503,29.60087719,28.15935673,28.5877193,26.49415205,45.73538012,44.36549708
Llama3.1,8B,22.64190295,18.47400895,12.33840751,13.24050727,21.48844218,35.17877068,43.90635647,30.49890249,36.5584585,61.27349566,48.43853078,30.12105509,35.06125239,27.62204698,72.85091851,45.21205832,19.57017544,20.63450292,17.07309942,15.80116959,24.21929825,21.18567251,30.66959064,34.4005848,40.46929825,36.48830409,29.15643275,33,28.46491228,24.7002924,29.85964912,37.8494152
Aya-Expanse,8B,25.4895879,24.55942251,16.84847982,17.75682239,27.78271925,53.58043755,65.74677958,27.24878158,37.97845775,36.14131876,33.92245324,35.91385975,51.72756304,20.04213175,68.59691474,57.51657439,24.13157895,22.74269006,21.11695906,19.38011696,28.27631579,28.68567251,43.60964912,38.04239766,34.56725146,34.80994152,30.96929825,51.40204678,35.89619883,27.62573099,50.01608187,56.66812865
Gemma2,9B,20.94291795,18.45283704,12.20152917,12.64317017,18.78394358,34.7504191,41.02339466,19.822166,29.25596015,29.55988188,31.43421081,24.97302808,31.31722009,18.26525271,28.53715261,43.52619057,20.47076023,18.71783626,18.02631579,16.52046784,23.79093567,16.96491228,26.90204678,30.42251462,27.99269006,28.5497076,26.16666667,28.77192982,23.58918129,19.95467836,20.14181287,31.08187135
InternLM2.5,20B,42.12808967,38.26521353,16.95632336,27.4300548,66.15740402,73.26239972,136.0508128,45.42244875,82.49537227,71.34546355,79.96531251,60.64477764,97.60277265,61.38148229,347.602155,108.4022898,17.94444444,16.24561404,14.11842105,15.58918129,20.55409357,27.17836257,57.67836257,26.23099415,28.6754386,28.86695906,31.12134503,46.89327485,27.03654971,23.25292398,50.12573099,123.0277778
Gemma2,27B,15.13203632,12.84530387,8.039874459,9.643923816,13.6088235,24.46522155,30.76511243,15.68250307,25.93890152,24.59993281,25.52244047,20.34235229,24.90093881,13.34748983,26.93564531,33.46729008,14.30701754,14.06578947,12.08918129,11.66959064,16.02923977,14.55847953,16.08187135,22.57894737,21.67690058,20.59210526,19.43567251,20.62573099,18.14912281,15.37573099,14.5994152,18.60233918
