En->X,Size,en->cs,en->de,en->es,en->fr,en->ru,en->sr,en->bn,en->zh,en->ja,en->ko,en->ar,en->th,en->hu,en->vi,en->sw,en->te,AVG
Gemma2,27B,37.22705485,40.60967447,35.93933935,41.72576731,32.455173,39.15892317,33.65359813,27.01334369,24.07763859,26.42238135,35.73871335,27.01784892,33.1112053,32.14433354,47.11397671,39.08524445,34.5
Aya-Expanse,32B,38.608436,42.31617004,37.30382645,42.85320693,33.89015155,37.45925036,29.39524004,28.49199005,26.18624984,28.88181933,38.34713133,22.64982963,29.75998684,34.24203284,30.43195431,24.00055842,32.8
Qwen2.5,32B,34.65292784,39.21003168,34.35836731,40.56242863,30.98087414,32.66009776,28.91781703,26.52716432,21.84770355,25.19405613,34.45328319,26.7110953,26.8750887,30.75196945,27.60315336,26.84581298,30.5
DeepSeek-R1-Distill-Qwen,32B,33.3278146,37.44888446,32.16335894,38.31206026,29.83483025,32.72127497,26.64312865,25.37340136,21.56942252,24.66278478,31.38449234,24.47361487,26.0923515,29.30621356,20.56398809,22.01069615,28.5
Llama3.1,70B,37.78667333,40.14426191,34.69175215,42.33699497,32.77957172,39.02338668,36.15213827,27.54098936,24.24523042,26.40164759,36.56194934,28.56258637,32.94266033,33.95663257,46.17401279,42.29109267,35.1
Llama3.3,70B,36.61080571,39.28334672,32.64779967,39.24953772,32.05167501,33.76866476,35.76205117,27.32152658,24.50844208,26.12416628,35.41971902,27.86239304,32.72258884,33.04924856,40.98902919,40.96952971,33.6
DeepSeek-R1-Distill-Llama,70B,35.49343362,39.44565502,33.9651376,40.56748563,31.18094998,37.63009927,33.28587109,26.10412006,22.8866035,26.00042446,33.38604654,26.23485994,32.23783647,30.47100804,41.91482733,37.71629386,33.0
Qwen2.5,72B,36.981703,40.64544276,35.50003021,41.8424013,32.77199724,38.15500444,33.27517426,27.92299421,24.64326521,27.71578163,36.21089205,28.78126272,31.37476263,33.01204982,32.1400245,31.80306657,33.3
DeepSeek-V3,37B/671B,37.64944395,40.8168615,35.24159733,41.62332843,32.775864,40.12715221,33.91713319,26.52711492,24.50365244,27.09774948,35.4699618,27.18139684,33.00523598,32.90975361,44.84851146,38.80260784,34.5
gpt-4o-mini-2024-07-18,,36.90706678,40.57299748,34.86167904,41.41602281,31.69747058,39.00494929,33.00092979,25.98091315,23.90199042,26.47603889,34.86143118,26.19239506,32.49013682,31.6610348,45.32959759,38.22946507,33.9
